,ADDRESSBLOCKHOUSENUMBER,LATITUDE,EST_ORIGINAL_COMPLETION_DATE,STATUS,NO_OF_FOOD_STALLS,REGION,APPROXIMATE_GFA,LONGITUDE,NO_OF_MARKET_STALLS,DESCRIPTION,NAME,RNR_STATUS,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,LON,LAT
0, 221A/B  ,1.34528005,2/1/1976,Existing,72,West,,103.7128525,94,HUP Reconfiguration,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Completed,Boon Lay Place,641221,JURONG WEST,JW,WEST REGION,WR,103.712799765872,1.3452231627967
1, 665  ,1.30619001,31/10/1980,Existing,119,Central,,103.8506699,284,HUP Standard Upgrading,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Completed,Buffalo Road,210665,ROCHOR,RC,CENTRAL REGION,CR,103.850530969624,1.30620584090733
2, 163  ,1.28374004,5/5/1980,Existing,57,West,,103.8171082,0,Opted out of HUP,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Completed,Bukit Merah Central,150163,BUKIT MERAH,BM,CENTRAL REGION,CR,103.816992390295,1.28369258928085
3, 120  ,1.28636003,14/9/1978,Existing,88,West,,103.8045502,0,HUP Standard Upgrading,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Completed,Bukit Merah Lane 1,150120,BUKIT MERAH,BM,CENTRAL REGION,CR,103.804489277779,1.28629777221659
4, 115  ,1.28524005,29/3/1973,Existing,84,West,,103.8223724,167,HUP Standard Upgrading,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Completed,Bukit Merah View,151115,BUKIT MERAH,BM,CENTRAL REGION,CR,103.822049361292,1.28550478314618
5, 2  ,1.378269,31/7/2015,Existing (new),28,West,4500,103.772432,45,New Centre,Bukit Panjang Hawker Centre,,Bukit Panjang Ring Road,679947,BUKIT PANJANG,BP,WEST REGION,WR,103.772489583206,1.37760053528611
6, 51  ,1.33964503,1/1/1975,Existing,84,West,3310.64,103.7758026,95,HUP Standard Upgrading,Bukit Timah Market,Completed,Upper Bukit Timah Road,588215,BUKIT TIMAH,BT,CENTRAL REGION,CR,103.775995008012,1.33937596351523
7, 41A  ,1.3162000200000001,18/12/1981,Existing,50,Central,,103.8503036,74,HUP Reconfiguration,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),Completed,Cambridge Road,211041,KALLANG,KL,CENTRAL REGION,CR,103.850225081031,1.31615991374589
8, 2&3  ,1.38971996,12/11/1975,Existing,87,East,,103.9881821,50,HUP Standard Upgrading,Changi Village Blk 2 and 3,Completed,Changi Village Road,500002,CHANGI,CH,EAST REGION,ER,103.988245749103,1.38915172065006
9, 51  ,1.3749377,2/7/2015,Existing (new),40,North,2047.29,103.8829472,0,New Centre,Ci Yuan Hawker Centre,,Hougang Avenue 9,538776,HOUGANG,HG,NORTH-EAST REGION,NER,103.882977999397,1.37542896666561
10, 79/79A  ,1.32666004,31/3/1971,Existing,106,East,,103.8851166,0,HUP Standard Upgrading,Circuit Road Blk 79/79A,Completed,Circuit Road,370079,GEYLANG,GL,CENTRAL REGION,CR,103.885043500019,1.32644992167231
11, 80  ,1.32790005,1/9/1967,Existing,16,East,,103.8871536,43,HUP Reconfiguration,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),Completed,Circuit Road,370080,GEYLANG,GL,CENTRAL REGION,CR,103.887128535137,1.32784956142548
12, 89  ,1.32363999,1/9/1967,Existing,41,East,,103.8855209,92,HUP Standard Upgrading,Circuit Road Blk 89,Completed,Circuit Road,370089,GEYLANG,GL,CENTRAL REGION,CR,103.885449224256,1.32344525333847
13, 353  ,1.31433797,26/1/1978,Existing,18,West,,103.7707748,96,HUP Standard Upgrading,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),Completed,Clementi Ave 2,120353,CLEMENTI,CL,WEST REGION,WR,103.770836740843,1.31436772839327
14, 726  ,1.30391705,29/11/1980,Existing,60,West,,103.7641754,135,HUP Standard Upgrading,Clementi West Street 2 Blk 726,Completed,Clementi West Street 2,120726,CLEMENTI,CL,WEST REGION,WR,103.764264410293,1.3037819726711
15, 31  ,1.30743206,1/1/1965,Existing,39,West,3040.58,103.7994614,63,HUP Rebuilding,Commonwealth Crescent Market,Completed,Commonwealth Crescent,149644,QUEENSTOWN,QT,CENTRAL REGION,CR,103.800362825517,1.3068922760844
16, 271  ,1.309412,1/1/1974,Existing,30,East,984,103.901825,0,HUP Standard Upgrading,Dunman Food Centre,Completed,Onan Road,424768,MARINE PARADE,MP,CENTRAL REGION,CR,103.90182514721,1.30941418731184
17, 724  ,1.37204003,31/1/1980,Existing,45,North,,103.8464966,78,HUP Reconfiguration,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Completed,Ang Mo Kio Ave 6,560724,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.846519219268,1.37219743270044
18, 226H  ,1.36726606,30/9/1976,Existing,29,North,,103.8399429,0,HUP Reconfiguration,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Completed,Ang Mo Kio Street 22,568226,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.839953165937,1.36723014879667
19, 527  ,1.37270999,24/12/1979,Existing,50,North,,103.8544464,100,HUP Reconfiguration,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Completed,Ang Mo Kio Ave 10,560527,ANG MO KIO,AM,NORTH-EAST REGION,NER,103.854482811591,1.37276992816898
20, 630  ,1.33298004,30/6/1982,Existing,36,East,,103.9142075,75,HUP Rebuilding,Bedok Reservoir Road Blk 630,Completed,Bedok Reservoir Road,470630,BEDOK,BD,EAST REGION,ER,103.91405388831,1.33315924777343
21, 166  ,1.30733502,1/1/1975,Existing,66,Central,2568.95,103.8568497,0,HUP Standard Upgrading,Berseh Food Centre,Completed,Jalan Besar,208877,ROCHOR,RC,CENTRAL REGION,CR,103.856853966617,1.30733651651517
