license_numbers,business_name,name_of_license,premise_address
B02008E000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"845 YISHUN STREET 81, #01-184, S(760845)"
B02011P000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"524A JELAPANG ROAD, #03-13/18 GREENRIDGE SHOPPING CENTRE, S(671524)"
B02012N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"768 WOODLANDS AVENUE 6, #01-34 WOODLANDS MART, S(730768)"
B02015J000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"122 ANG MO KIO AVENUE 3, #01-1753, S(560122)"
B02017C000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"301 WOODLANDS STREET 31, #01-217, S(730301)"
B02020N000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JELEBU ROAD, #01-15 BUKIT PANJANG PLAZA, S(677743)"
B02021L000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 SEMBAWANG DRIVE, #B1-01-03 SUN PLAZA, S(757713)"
B02022K000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"71 WOODLANDS AVENUE 3, #01-01 MARSILING MRT STATION, S(739044)"
B02024E000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"888 WOODLANDS DRIVE 50, #01-757 888 PLAZA, S(730888)"
B02025C000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"414 YISHUN RING ROAD, #01-1853, S(760414)"
B02026B000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"445 FAJAR ROAD, #01-536, S(670445)"
B02032E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"161 ANG MO KIO AVENUE 4, #01-504, S(560161)"
B02034B000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 WOODLANDS AVENUE 1 WOODGROVE, S(739065)"
B02035A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"548 WOODLANDS DRIVE 44, #01-37/38 VISTA POINT, S(730548)"
B02037X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"883 WOODLANDS STREET 82, #01-498 WOODLANDS NORTH PLAZA, S(730883)"
B02038P000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"925 YISHUN CENTRAL 1, #01-211, S(760925)"
B02039N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 YISHUN STREET 22, #01-261, S(760293)"
B02041C000,hwa soon heng mini supermarket,TAN KWEE ENG,"327 YISHUN RING ROAD, #01-1320, S(760327)"
B02060V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"256 BANGKIT ROAD, #01-69, S(670256)"
B02093B000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"301 YISHUN AVENUE 2, #01-02 YISHUN MRT STATION, S(769093)"
B02099L000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"849 YISHUN RING ROAD, #01-3703, S(760849)"
B03074A000,The butcher,THE BUTCHER (SINGAPORE) PTE. LTD.,"44 JALAN MERAH SAGA, #01-50, S(278116)"
B03078N000,Fish market,ROSWELL ENTERPRISE PTE LTD,"34 GREENWOOD AVENUE, S(289236)"
B03099C000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"628 SENJA ROAD, #01-01, S(670628)"
B85098V000,HAO MART,HAO MART PTE. LTD.,"239 YISHUN RING ROAD, #01-1150, S(760239)"
B92077A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"418 YISHUN AVENUE 11, #01-433, S(760418)"
B98014C000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"215 ANG MO KIO AVENUE 1, #01-877, S(560215)"
B99041L000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 ORCHID CLUB ROAD, #01-34 ORCHID COUNTRY CLUB, S(769162)"
C00033N000,Meat The Butcher,MEAT THE BUTCHER PTE. LTD.,"615 615 Bukit Timah Road, S(269716)"
C02024A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 FIFTH AVENUE, #01-05 GUTHRIE HOUSE, S(268802)"
C02025V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"293 HOLLAND ROAD COLD STORAGE JELITA, S(278628)"
C02026X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 JURONG EAST STREET 21, #01-100 IMM BUILDING, S(609601)"
C02033V000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"154A BUKIT BATOK WEST AVENUE 8, #01-01, S(651154)"
C02034X000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"587 BUKIT TIMAH ROAD CORONATION PLAZA, S(269707)"
C02035P000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"451 CLEMENTI AVENUE 3, #01-307, S(120451)"
C02036N000,FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT, #B1-01 BUKIT TIMAH PLAZA, S(588996)"
C02037L000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"135 JURONG EAST STREET 13, #01-337, S(600135)"
C02038K000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JURONG WEST CENTRAL 2, #B1-09 JURONG POINT, S(648886)"
C02040A000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"63/66 YUNG KUANG ROAD #01-119/02-119, S(610063)"
C02041V000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"399 YUNG SHENG ROAD #01-43A & 01-35, S(610399)"
C02046K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 BUKIT BATOK CENTRAL LINK, #B1-01 WEST MALL, S(658713)"
C02047J000,U STARS SUPERMARKET,U STARS SUPERMARKET PTE. LTD.,"345 CLEMENTI AVENUE 5, #01-78, S(120345)"
C02048E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD, #B1-01 BEAUTY WORLD CENTRE, S(588177)"
C02050X000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"3 YUAN CHING ROAD, #01 #01-01A/02, S(618642)"
C02052N000,ridgewood gourmet,YEO KENG GUAN,"5 RIDGEWOOD CLOSE RIDGEWOOD CONDOMINIUM, S(276696)"
C02053L000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"166 BUKIT BATOK WEST AVENUE 8 #01-256/258, S(650166)"
C02080E000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"61 TEBAN GARDENS ROAD, #01-21, S(600061)"
C02104B000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"10 BUKIT BATOK CENTRAL, #01-08, S(659958)"
C03010C000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 MARITIME SQUARE #01-47/48/49/50 HARBOURFRONT CENTRE, S(099253)"
C79031J000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"21 GHIM MOH ROAD, #01-177, S(270021)"
C85274C000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"BLK 345 JURONG EAST STREET 31, #01-29, S(600345)"
C99107C000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"1 JURONG WEST CENTRAL 2, #B1-26 JURONG POINT SHOPPING CENTRE, S(648886)"
CE04086K000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"57 DAWSON ROAD, #01-01 DAWSON PLACE, S(142057)"
CE04334P000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"233 ANG MO KIO AVENUE 3, #01-1168, S(560233)"
CE04558K000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"108 MCNAIR ROAD, #01-295, S(321108)"
CE04561V000,SHENG SIONG,SHENG SIONG SUPERMARKET PTE LTD,"19 SERANGOON NORTH AVENUE 5, #01-01/02, S(554913)"
CE05039P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"201 YISHUN AVENUE 2, #01-03 KHATIB MRT STATION, S(769092)"
CE05096V000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"316B ANG MO KIO STREET 31, #01-11 MULTI STOREY CAR PARK, S(563316)"
CE05295K000,NTUC FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"71 KALLANG BAHRU, #02-531, S(330071)"
