geometry,LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,address,NTUC,chain,PLN_AREA_N,SUBZONE_N,LON,LAT
POINT Z (103.901262393433 1.40230300615945 0),LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,273C,PUNGGOL PLACE,884,823273,NE12I65N000,3DE8AF6E76F9D3D4,273C PUNGGOL PLACE,False,False,PUNGGOL,MATILDA,103.901262393433,1.40230300615945
POINT Z (103.870914035563 1.31423937057047 0),SHENG SIONG SUPERMARKET PTE LTD,11,UPPER BOON KENG ROAD,901,380011,E73010V000,F361759A8261CD6E,11 UPPER BOON KENG ROAD,False,True,KALLANG,BOON KENG,103.870914035563,1.31423937057047
POINT Z (103.886365538231 1.3733212172841 0),COLD STORAGE SINGAPORE (1983) PTE LTD,683,HOUGANG AVENUE 8,903,530683,NE11909C000,1DC69902E02077CE,683 HOUGANG AVENUE 8,False,True,HOUGANG,HOUGANG WEST,103.886365538231,1.3733212172841
POINT Z (103.914941831132 1.33295872723089 0),COLD STORAGE SINGAPORE (1983) PTE LTD,631,BEDOK RESERVOIR ROAD,954,470631,S02210X000,4E2560154B58BA38,631 BEDOK RESERVOIR ROAD,False,True,BEDOK,KAKI BUKIT,103.914941831132,1.33295872723089
POINT Z (103.953009921086 1.35345315592225 0),YES SUPERMARKET PTE LTD,201B,TAMPINES STREET 21,1091,522201,S02037J000,559A9A00D9FF8A55,201B TAMPINES STREET 21,False,False,TAMPINES,TAMPINES EAST,103.953009921086,1.35345315592225
POINT Z (103.95358649775 1.35226231253931 0),SUZYAMEER FROZEN PTE. LTD.,201D,TAMPINES STREET 21,1161,524201,NE08357A000,1D32060098628881,201D TAMPINES STREET 21,False,False,TAMPINES,TAMPINES EAST,103.95358649775,1.35226231253931
POINT Z (103.852966963093 1.36538421638439 0),G8 MART PTE. LTD.,421,ANG MO KIO AVENUE 10,1161,560421,CE13401C000,E83AE5A9842F67BC,421 ANG MO KIO AVENUE 10,False,False,ANG MO KIO,CHONG BOON,103.852966963093,1.36538421638439
POINT Z (103.83674063794 1.36754924783084 0),SHENG SIONG SUPERMARKET PTE LTD,233,ANG MO KIO AVENUE 3,1168,560233,CE04334P000,08D1E417EB224327,233 ANG MO KIO AVENUE 3,False,True,ANG MO KIO,SHANGRI-LA,103.83674063794,1.36754924783084
POINT Z (103.890680794853 1.35370296933733 0),PRIME SUPERMARKET (1996) PTE LTD,106,HOUGANG AVENUE 1,1213,530106,S02059X000,3DA5C840D472C779,106 HOUGANG AVENUE 1,False,True,HOUGANG,LORONG AH SOO,103.890680794853,1.35370296933733
POINT Z (103.842396448241 1.43007109706807 0),TAN KWEE ENG,327,YISHUN RING ROAD,1320,760327,B02041C000,FBB8A845FD8ADDC4,327 YISHUN RING ROAD,False,False,YISHUN,YISHUN EAST,103.842396448241,1.43007109706807
POINT Z (103.843413241014 1.3701886043625 0),SHENG SIONG SUPERMARKET PTE LTD,122,ANG MO KIO AVENUE 3,1753,560122,B02015J000,DEC1603A9CDAA8B2,122 ANG MO KIO AVENUE 3,False,True,ANG MO KIO,KEBUN BAHRU,103.843413241014,1.3701886043625
POINT Z (103.832882666076 1.42213865028433 0),KAI SOON SUPERMARKET PTE. LTD.,780,YISHUN RING ROAD,3546,760780,W03223N000,97BC62A54004ABA9,780 YISHUN RING ROAD,False,False,YISHUN,KHATIB,103.832882666076,1.42213865028433
POINT Z (103.767260053848 1.32325040085144 0),COLD STORAGE SINGAPORE (1983) PTE LTD,41,SUNSET WAY,01A,597071,NW08141P000,5B36941E8637D978,41 SUNSET WAY,False,True,CLEMENTI,SUNSET WAY,103.767260053848,1.32325040085144
