,Name,Description,geometry
0,kml_1,Attributes LIC_NAME LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.  BLK_HOUSE 273C  STR_NAME PUNGGOL PLACE  UNIT_NO 884  POSTCODE 823273  LIC_NO NE12I65N000  INC_CRC 3DE8AF6E76F9D3D4  FMEL_UPD_D 20171129183653 ,POINT Z (103.901262393433 1.40230300615945 0)
1,kml_2,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 11  STR_NAME UPPER BOON KENG ROAD  UNIT_NO 901  POSTCODE 380011  LIC_NO E73010V000  INC_CRC F361759A8261CD6E  FMEL_UPD_D 20171129183653 ,POINT Z (103.870914035563 1.31423937057047 0)
2,kml_3,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 683  STR_NAME HOUGANG AVENUE 8  UNIT_NO 903  POSTCODE 530683  LIC_NO NE11909C000  INC_CRC 1DC69902E02077CE  FMEL_UPD_D 20171129183653 ,POINT Z (103.886365538231 1.3733212172841 0)
3,kml_4,Attributes LIC_NAME COLD STORAGE SINGAPORE (1983) PTE LTD  BLK_HOUSE 631  STR_NAME BEDOK RESERVOIR ROAD  UNIT_NO 954  POSTCODE 470631  LIC_NO S02210X000  INC_CRC 4E2560154B58BA38  FMEL_UPD_D 20171129183653 ,POINT Z (103.914941831132 1.33295872723089 0)
4,kml_5,Attributes LIC_NAME YES SUPERMARKET PTE LTD  BLK_HOUSE 201B  STR_NAME TAMPINES STREET 21  UNIT_NO 1091  POSTCODE 522201  LIC_NO S02037J000  INC_CRC 559A9A00D9FF8A55  FMEL_UPD_D 20171129183653 ,POINT Z (103.953009921086 1.35345315592225 0)
5,kml_6,Attributes LIC_NAME SUZYAMEER FROZEN PTE. LTD.  BLK_HOUSE 201D  STR_NAME TAMPINES STREET 21  UNIT_NO 1161  POSTCODE 524201  LIC_NO NE08357A000  INC_CRC 1D32060098628881  FMEL_UPD_D 20171129183653 ,POINT Z (103.95358649775 1.35226231253931 0)
6,kml_7,Attributes LIC_NAME G8 MART PTE. LTD.  BLK_HOUSE 421  STR_NAME ANG MO KIO AVENUE 10  UNIT_NO 1161  POSTCODE 560421  LIC_NO CE13401C000  INC_CRC E83AE5A9842F67BC  FMEL_UPD_D 20171129183653 ,POINT Z (103.852966963093 1.36538421638439 0)
7,kml_8,Attributes LIC_NAME SHENG SIONG SUPERMARKET PTE LTD  BLK_HOUSE 233  STR_NAME ANG MO KIO AVENUE 3  UNIT_NO 1168  POSTCODE 560233  LIC_NO CE04334P000  INC_CRC 08D1E417EB224327  FMEL_UPD_D 20171129183653 ,POINT Z (103.83674063794 1.36754924783084 0)
8,kml_9,Attributes LIC_NAME PRIME SUPERMARKET (1996) PTE LTD  BLK_HOUSE 106  STR_NAME HOUGANG AVENUE 1  UNIT_NO 1213  POSTCODE 530106  LIC_NO S02059X000  INC_CRC 3DA5C840D472C779  FMEL_UPD_D 20171129183653 ,POINT Z (103.890680794853 1.35370296933733 0)
9,kml_10,Attributes LIC_NAME TAN KWEE ENG  BLK_HOUSE 327  STR_NAME YISHUN RING ROAD  UNIT_NO 1320  POSTCODE 760327  LIC_NO B02041C000  INC_CRC FBB8A845FD8ADDC4  FMEL_UPD_D 20171129183653 ,POINT Z (103.842396448241 1.43007109706807 0)
